Artist,Title,Skip
Arcade Fire,Wake Up,
Idina Menzel,Let It Go,
Pixies,Debaser,
Zero 7 & Sia,Speed Dial No. 2,
Ambulance LTD,Sugar Pill,
Nick Cave & The Bad Seeds,Darker With the Day,
Nick Drake,Pink Moon,
The Stone Roses,Waterfall,
Gine Pitney and Marc Almond,Something's Gotten Hold of my Heart,
Franz Ferdinand,All for you,
Honeyblood,Gangs,
Gene,Do You Want To Hear It From Me,
Austra,The Future,
Tracy Chapman,Fast Car,
Ambulance LTD,Ophelia,
Feeder,Just a Day,
The B-52's,Junebug,
Honeyblood,Love Is a Disease,
Fleetwood Mac,The Chain,
The B-52's,Bushfire,
60 Ft Dolls,British Racing Green,skip
BLACKPINK,DDU-DU DDU-DU,
Harvey Danger,Authenticity,
Scissor Sisters,Take Your Mama,
Suede,My Dark Star,
Suede,We Are the Pigs,
Billy Bragg,Strange Things Happen,
Gordon Lightfoot,If You Could Read My Mind,
U2,Stuck in a Moment You Can't Get Out Of,
Barry Dransfield,Be My Friend,
Jeffrey Lewis,Where Next Columbus?,
Dire Straits,Romeo And Juliet,
Austra,Darken Her Horse,
Super Furry Animals,The Gift That Keeps Giving,
Shed Seven,Going For Gold,
Harvey Danger,Flagpole Sitta,
Franz Ferdinand,The Dark Of The Matinee,
Jane Weaver,Mission Desire,
Ambulance LTD,Michigan,
Cud,Purple Love Balloon,
Marika Hackman,the one,
Honeyblood,"Justine, Misery Queen",
Sea Urchins,Time Is All I've Seen,
"Avicii,Nicky Romero",I Could Be The One,
Harvey Danger,Save It for Later,
Band of Horses,No One's Gonna Love You,
Morgan Saint,Glass House,
Austra,Lose It,
Michael Jackson,Off the Wall,
Nicki Minaj,Starships,
The Stone Roses,I Wanna Be Adored,
The B-52's,Dry County,
Anna Calvi,Don't Beat the Girl out of My Boy,
The Cranberries,Linger,
Blur,Tender,
Milltown Brothers,Which Way Should I Jump,
"Estelle,Kanye West",American Boy,
"Katy Perry,Juicy J",Dark Horse,
Django Django,Hail Bop,
AURORA,Hunger,
Howard Jones,What Is Love?,
Father John Misty,Hollywood Forever Cemetery Sings,
The Cult,She Sells Sanctuary,
Aldous Harding,Fixture Picture,
Fontaines D.C.,Roy's Tune,
Fever Ray,Dry and Dusty,
Palace Winter,Empire,
Shame,One Rizla,
shame,Friction,
The Stone Roses,Elephant Stone,
Ariana Grande,Positions,
Billy Bragg,Island of No Return,
Baxter Dury,Prince of Tears,
Laura Jean,Devotion,
Hannah Peel,The Almond Tree,
Lush,For Love,
Howling Bells,Setting Sun,
Pentangle,Willy O'Winsbury,
Olivia Rodrigo,"jealousy, jealousy",
Pixies,Caribou,
Billy Bragg,Greetings to the New Brunette,
Sharon Van Etten,You Shadow,
AURORA,The River,
Nick Cave & The Bad Seeds,Bring It On,
Fever Ray,Seven,
John Cale,Paris 1919,
Lucinda Williams,Side Of The Road,
Nick Cave & The Bad Seeds,Push the Sky Away,
Suede,Heroine,
Suede,Wild Ones,
The Ivor Cutler Trio,I'm Going in a Field,
Cyndi Lauper,Time After Time,
Les Miserables Cast,Drink With Me,
PJ Harvey,Bitter Branches,
The Cribs,Men's Needs,
Candi Staton,Young Hearts Run Free,
Pixies,Velouria,
Depeche Mode,Policy of Truth,
The Hives,Hate To Say I Told You So,
"Édith Piaf """,La Vie en Rose,
The Stone Roses,I Am the Resurrection,
Beach House,Zebra,
Alex Ebert,Truth,
PJ Harvey,All And Everyone,
All About Eve,Martha's Harbour,
Placebo,Every You Every Me,
Teenage Fanclub,Sparky's Dream,
The War On Drugs,Under The Pressure,
Billy Bragg,St. Swithin's Day,
Weezer,Hash Pipe,
The Offspring,Self Esteem,
Badfinger,No Matter What,
Jerkcurb,Voodoo Saloon,
"Air,Beth Hirsch",All I Need (feat. Beth Hirsch),
Amaya Laucirica,All Of Our Time,
Shura,What's It Gonna Be?,
Austra,The Beast,
The Wonder Stuff,Circle Square,
Wild Beasts,All The King's Men,
The Shins,Sleeping Lessons,
Roy Bailey,Beeswing,
Foster The People,Pumped Up Kicks,
Yeah Yeah Yeahs,Maps,
Olivia Rodrigo,drivers license,
"Katy Perry,Skip Marley",Chained To The Rhythm,
The Smiths,Reel Around the Fountain,
Ambulance LTD,Stay Where You Are,
